ticker,cik,name,cohort,year1,year2,filing_date,trade_start_date,nominal_1m,nominal_3m,nominal_6m,nominal_12m,excess_kre_1m,excess_kre_3m,excess_kre_6m,excess_kre_12m,note
SIVB,0000719739,SVB Financial Group,crisis_distressed,2019,2020,2021-03-01,2021-03-02,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
SIVB,0000719739,SVB Financial Group,crisis_distressed,2020,2021,2022-03-01,2022-03-02,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
SIVB,0000719739,SVB Financial Group,crisis_distressed,2021,2022,2023-02-24,2023-02-25,-1.0,-1.0,-1.0,-1.0,-0.8221,-0.8221,-0.8221,-0.8221,"FDIC Receivership March 10, 2023"
SIVB,0000719739,SVB Financial Group,crisis_distressed,2022,2023,2024-02-28,2024-02-29,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
EWBC,0001069157,East West Bancorp,crisis_distressed,2019,2020,2021-02-09,2021-02-10,0.1641,0.113,0.1563,0.3675,-0.003,-0.0038,0.0438,0.1103,
EWBC,0001069157,East West Bancorp,crisis_distressed,2020,2021,2022-02-10,2022-02-11,-0.1486,-0.2043,-0.139,-0.1143,-0.1002,-0.0246,-0.0647,0.0123,
EWBC,0001069157,East West Bancorp,crisis_distressed,2021,2022,2023-02-09,2023-02-10,-0.2608,-0.4181,-0.2531,-0.0743,0.0188,-0.0004,-0.0103,0.1561,
EWBC,0001069157,East West Bancorp,crisis_distressed,2022,2023,2024-02-08,2024-02-09,0.1004,0.1204,0.128,0.4351,0.0804,0.0602,0.0183,0.0705,
CFG,0000759944,Citizens Financial Group,crisis_distressed,2019,2020,2021-02-23,2021-02-24,-0.0492,0.052,-0.0455,0.1558,-0.0309,0.0369,-0.0202,0.0727,
CFG,0000759944,Citizens Financial Group,crisis_distressed,2020,2021,2022-02-23,2022-02-24,-0.0353,-0.2077,-0.217,-0.1382,-0.0572,-0.0895,-0.1583,-0.0329,
CFG,0000759944,Citizens Financial Group,crisis_distressed,2021,2022,2023-02-17,2023-02-18,-0.262,-0.3423,-0.3444,-0.2147,0.0282,-0.0032,-0.0564,-0.019,
CFG,0000759944,Citizens Financial Group,crisis_distressed,2022,2023,2024-02-16,2024-02-17,0.1106,0.1773,0.3427,0.4899,0.0924,0.1252,0.1973,0.1807,
SI,0001312109,Silvergate Capital Corp,crisis_distressed,2019,2020,2021-03-08,2021-03-09,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
SI,0001312109,Silvergate Capital Corp,crisis_distressed,2020,2021,2022-02-28,2022-03-01,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
SI,0001312109,Silvergate Capital Corp,crisis_distressed,2021,2022,2023-02-28,2023-03-01,-1.0,-1.0,-1.0,-1.0,-0.943,-0.943,-0.943,-0.943,"Voluntary Liquidation March 8, 2023"
SI,0001312109,Silvergate Capital Corp,crisis_distressed,2022,2023,2024-02-28,2024-02-29,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
PACW,0001102112,PacWest Bancorp,crisis_distressed,2019,2020,2021-02-26,2021-02-27,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
PACW,0001102112,PacWest Bancorp,crisis_distressed,2020,2021,2022-02-28,2022-03-01,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
PACW,0001102112,PacWest Bancorp,crisis_distressed,2021,2022,2023-02-27,2023-02-28,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
PACW,0001102112,PacWest Bancorp,crisis_distressed,2022,2023,2024-02-28,2024-02-29,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
NYCB,0000910073,New York Community Bancorp (Flagstar),crisis_distressed,2019,2020,2021-02-26,2021-02-27,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
NYCB,0000910073,New York Community Bancorp (Flagstar),crisis_distressed,2020,2021,2022-02-25,2022-02-26,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
NYCB,0000910073,New York Community Bancorp (Flagstar),crisis_distressed,2021,2022,2023-03-01,2023-03-02,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
NYCB,0000910073,New York Community Bancorp (Flagstar),crisis_distressed,2022,2023,2024-03-15,2024-03-16,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
WAL,0001212545,Western Alliance Bancorp,crisis_distressed,2019,2020,2021-02-25,2021-02-26,0.0225,0.0908,0.0594,0.0434,0.0007,-0.0151,0.038,-0.1302,
WAL,0001212545,Western Alliance Bancorp,crisis_distressed,2020,2021,2022-02-25,2022-02-26,-0.0716,-0.12,-0.1575,-0.1829,-0.0512,0.0102,-0.0167,-0.0267,
WAL,0001212545,Western Alliance Bancorp,crisis_distressed,2021,2022,2023-02-23,2023-02-24,-0.5387,-0.5137,-0.3208,-0.1764,-0.2565,-0.1644,-0.0408,0.018,
WAL,0001212545,Western Alliance Bancorp,crisis_distressed,2022,2023,2024-02-28,2024-02-29,0.0819,0.0813,0.4067,0.433,0.0499,0.0726,0.1947,0.1695,
CMA,0000028412,Comerica Inc,crisis_distressed,2019,2020,2021-02-09,2021-02-10,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
CMA,0000028412,Comerica Inc,crisis_distressed,2020,2021,2022-02-16,2022-02-17,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
CMA,0000028412,Comerica Inc,crisis_distressed,2021,2022,2023-02-14,2023-02-15,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
CMA,0000028412,Comerica Inc,crisis_distressed,2022,2023,2024-02-28,2024-02-29,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
ZION,0000109380,Zions Bancorporation,crisis_distressed,2019,2020,2021-02-25,2021-02-26,0.0135,0.0948,0.0619,0.3671,-0.0082,-0.0112,0.0406,0.1935,
ZION,0000109380,Zions Bancorporation,crisis_distressed,2020,2021,2022-02-25,2022-02-26,-0.0162,-0.1898,-0.2025,-0.2669,0.0041,-0.0596,-0.0617,-0.1107,
ZION,0000109380,Zions Bancorporation,crisis_distressed,2021,2022,2023-02-23,2023-02-24,-0.4166,-0.4268,-0.3011,-0.1899,-0.1343,-0.0775,-0.0211,0.0044,
ZION,0000109380,Zions Bancorporation,crisis_distressed,2022,2023,2024-02-23,2024-02-24,0.0721,0.132,0.3008,0.4434,0.0467,0.0921,0.0726,0.1125,
KEY,0000091576,KeyCorp,crisis_distressed,2019,2020,2021-02-22,2021-02-23,-0.0632,0.1207,-0.0116,0.2767,-0.0469,0.0501,-0.0106,0.1405,
KEY,0000091576,KeyCorp,crisis_distressed,2020,2021,2022-02-22,2022-02-23,-0.0359,-0.2218,-0.2265,-0.2278,-0.0209,-0.0744,-0.1372,-0.1068,
KEY,0000091576,KeyCorp,crisis_distressed,2021,2022,2023-02-22,2023-02-23,-0.3384,-0.431,-0.3811,-0.1806,-0.0501,-0.0872,-0.1063,0.0235,
KEY,0000091576,KeyCorp,crisis_distressed,2022,2023,2024-02-22,2024-02-23,0.0808,0.0288,0.232,0.2451,0.0587,0.0031,0.0062,-0.0714,
FHN,0000036966,First Horizon Corp,crisis_distressed,2019,2020,2021-02-25,2021-02-26,0.038,0.1906,0.0238,0.1673,0.0162,0.0847,0.0024,-0.0063,
FHN,0000036966,First Horizon Corp,crisis_distressed,2020,2021,2022-03-04,2022-03-05,0.0064,-0.0245,-0.0253,-0.0658,0.0028,0.0121,0.0578,0.0522,
FHN,0000036966,First Horizon Corp,crisis_distressed,2021,2022,2023-03-01,2023-03-02,-0.178,-0.5169,-0.4121,-0.3125,0.0804,-0.1892,-0.1726,-0.1386,
FHN,0000036966,First Horizon Corp,crisis_distressed,2022,2023,2024-02-23,2024-02-24,0.0764,0.1507,0.2075,0.5724,0.051,0.1108,-0.0207,0.2415,
